"SpeciesName","FMSY","FishingPressure","ICES.Areas..splited.with.character.....","Year"
"Clupea harengus",NA,NA,"27.6.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2",2012
"Clupea harengus",NA,NA,"27.6.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2",2013
"Clupea harengus",NA,0.0341394787968111,"27.6.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2",2014
"Clupea harengus",NA,NA,"27.7.e ~ 27.7.f",2012
"Clupea harengus",NA,NA,"27.7.e ~ 27.7.f",2013
"Clupea harengus",NA,NA,"27.7.e ~ 27.7.f",2014
"Clupea harengus",0.26,0.241923,"27.7.a ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2",2012
"Clupea harengus",0.26,0.203139,"27.7.a ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2",2013
"Clupea harengus",0.26,0.307481,"27.7.a ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2",2014
"Lophius piscatorius",0.192,0.176,"27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8.a ~ 27.8.b ~ 27.8.d.1 ~ 27.8.d.2",2012
"Lophius piscatorius",0.192,0.1752,"27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8.a ~ 27.8.b ~ 27.8.d.1 ~ 27.8.d.2",2013
"Lophius piscatorius",0.192,0.182,"27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8.a ~ 27.8.b ~ 27.8.d.1 ~ 27.8.d.2",2014
"Pleuronectes platessa",NA,1970,"27.7.e",2012
"Pleuronectes platessa",NA,1338,"27.7.e",2013
"Pleuronectes platessa",NA,1051,"27.7.e",2014
"Merluccius merluccius",0.24,0.172324,"27.3.a ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6.a ~ 27.6.b.1 ~ 27.6.b.2 ~ 27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8.a ~ 27.8.b ~ 27.8.d.1 ~ 27.8.d.2",2012
