,Group name,Trophic level,Hab area (proportion),Biomass in habitat area (t/km^2),Biomass (t/km^2),Production / biomass (/year),Consumption / biomass (/year),Ecotrophic Efficiency,Production / consumption (/year),Biomass accumulation (t/km^2),BA rate (/year)
1,Baleen whales,4.293,1,0.063,0.063,0.02,6.323,0,0.003,,
2,Toothed whales,4.693,1,0.0397,0.0397,0.06,18.59,0.315,0.003,,
3,Seals,4.73,1,0.0048,0.0048,0.085,15.86,0.324,0.005,,
4,Seabird-surface feeders,3.788,1,0.00102,0.00102,0.237,98.78,0,0.002,,
5,Seabird-inshore divers,4.531,1,0.000107,0.000107,0.13,106.1,0.463,0.001,,
6,Seabird offshore divers,4.304,1,0.000702,0.000702,0.45,94.18,0.815,0.005,,
7,Gulls,2.459,1,0.000564,0.000564,0.21,56,0.451,0.004,,
8,Manx shearwater,4.338,1,0.000734,0.000734,0.141,205.6,0,0.001,,
9,European storm petrel,3.706,1,0.000001,0.000001,0.27,270,0,0.001,,
,Cod,,,,,,,,,,
10,Cod,4.538,1,0.55,0.55,1,3.2,0.806,0.313,,
11,Juvenile cod,3.827,1,0.163,0.163,1.2,7.701,0.34,0.156,,
,Blue whiting,,,,,,,,,,
12,Blue whiting,3.498,1,0.444,0.444,1.1,6.666,0.996,0.165,,
13,Juvenile blue whiting,3.361,1,1.573,1.573,2,17.77,0.848,0.113,,
,Hake,,,,,,,,,,
14,Hake,4.516,1,0.26,0.26,1.1,3.529,0.99,0.312,,
15,Juvenile hake,4.413,1,0.645,0.645,0.895,6.674,0.569,0.134,,
,Plaice,,,,,,,,,,
16,Plaice,3.312,1,0.0497,0.0497,1,5.131,0.734,0.195,,
17,Juvenile plaice,3.605,1,0.0875,0.0875,1.7,13.41,0.785,0.127,,
,Megrim,,,,,,,,,,
18,Megrim,4.454,1,0.194,0.194,1.6,3.1,0.927,0.516,,
19,Juvenile megrim,3.844,1,0.119,0.119,1.1,6.393,0.577,0.172,,
,Whiting,,,,,,,,,,
20,Whiting,4.444,1,0.412,0.412,1.92,3.874,0.997,0.496,,
21,Juvenile whiting,4.012,1,0.511,0.511,2.8,9.062,0.739,0.309,,
,Monkfish,,,,,,,,,,
22,Monkfish,4.566,1,0.29,0.29,0.851,1.9,0.24,0.448,,
23,Juvenile monkfish,4.429,1,0.884,0.884,0.98,4.39,0.348,0.223,,
,Haddock,,,,,,,,,,
24,Haddock,4.363,1,0.179,0.179,1.2,4.657,0.891,0.258,,
25,Juvenile haddock,3.159,1,0.0798,0.0798,1.1,9.87,0.346,0.111,,
26,Sole,3.295,1,0.058,0.058,1.2,5.722,0.538,0.21,,
27,Mackerel,3.502,1,15.653,15.653,0.651,1.73,0.95,0.376,,
28,Horse mackerel,3.457,1,8.288,8.288,0.707,3.51,0.95,0.201,,
29,Red mullet,3.287,1,0.0697,0.0697,0.733,5.962,0.661,0.123,,
30,Sea bass,4.071,1,0.408,0.408,0.779,4.407,0.376,0.177,,
31,Large sharks,4.567,1,0.646,0.646,0.819,3,0.002,0.273,,
32,Small sharks,4.012,1,1.521,1.521,0.113,4.739,0.21,0.024,,
33,Clupeids,3.284,1,2.634,2.634,3.308,6.382,0.95,0.518,,
34,Rays and Skates,3.748,1,0.879,0.879,0.387,3.798,0.788,0.102,,
35,Turbot and Brill,3.393,1,0.305,0.305,0.592,5.324,0.072,0.111,,
36,Small and medium flatfish,3.431,1,1.45,1.45,2.9,5.8,0.846,0.5,,
37,Trisopterus,3.461,1,2,2,2.6,7.461,0.922,0.348,,
38,Gurnards,3.401,1,0.406,0.406,0.689,5.621,0.758,0.123,,
39,Pollack and Saithe,4.118,1,3.818,3.818,0.787,3.582,0.155,0.22,,
40,Small benthic fishes,3.3,1,0.9,0.9,3.58,8.682,0.939,0.412,,
41,Small pelagic spp.,3.572,1,2.55,2.55,1.2,9.246,0.64,0.13,,
42,Garfish,3.774,1,0.041,0.041,0.676,4.87,0.95,0.139,,
43,Demersal predators,4.42,1,0.57,0.57,0.779,3.938,0.828,0.198,,
44,Small crabs and other,2.25,1,9.1,9.1,3.19,6.332,0.921,0.504,,
45,Large crabs and lobsters,2.425,1,0.393,0.393,2.3,4.4,0.78,0.523,,
46,Small benthic crustacea,2,1,0.96,0.96,3.765,23.04,0.977,0.163,,
47,Bivalves,2,1,25.32,25.32,1.104,12.27,0.632,0.09,,
48,Gasteropods,2,1,1.765,1.765,0.9,4.367,0.876,0.206,,
49,Cuttlefish,4.144,1,0.22,0.22,4.5,15,0.819,0.3,,
50,Squid,3.374,1,2.184,2.184,3,15,0.95,0.2,,
51,Sessile invertebrate,2.778,1,3.811,3.811,0.645,2.58,0.957,0.25,,
52,Echinoderms,2.288,1,7.459,7.459,1.376,5.504,0.318,0.25,,
53,Polychaetes,2.3,1,20.82,20.82,1.963,13.09,0.366,0.15,,
54,Nematoda,2.3,1,0.07,0.07,3.3,16.67,0.796,0.198,,
55,Zooplankton,2.561,1,19.77,19.77,9.7,60,0.945,0.162,,
56,Carnivorous macroplankton,3.561,1,0.7,0.7,9.5,23.33,0.502,0.407,,
57,Euphausiids,2.372,1,20.15,20.15,6.6,22,0.776,0.3,,
58,Microflagellate,2.7,1,2.1,2.1,200,400,0.932,0.5,,
59,Pelagic bacteria,2,1,3,3,210,420,0.933,0.5,,
60,Benthic bacteria,2,1,3.247,3.247,110,220,0.23,0.5,,
61,Phytoplankton,1,1,40.48,40.48,120,,0.233,,,
62,Herring,3.523,1,0.564,0.564,2.38,12.79,0.952,0.186,,
63,Particulate organic matter,1,1,56.85,56.85,,,0.231,,,
64,Discards,1,1,1.1,1.1,,,0.032,,,
65,Dissolved organic matter,1,1,268.8,268.8,,,0.739,,,
