,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km²)","Biomass (t/km²)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km²)","BA rate (/year)",
1,"Baleen whales",4.430877,1,0.067,0.067,,0.02,9.9,0,0.002020202,,,
2,"Toothed whales",4.647531,1,0.017,0.017,,0.02,17.63,0,0.00113443,,,
3,Seals,4.978513,1,0.008,0.008,,0.09,26.842,0,0.003352955,,,
4,Seabirds,3.427497,1,0.003,0.003,,0.28,216,0,0.001296296,,,
5,"Juvenile sharks",4.284751,1,0.001,0.001,,0.5,2.5,0.3885577,0.2,,,
6,Spurdog,4.752993,1,0.01678431,0.01678431,,0.6,2,0.9499999,0.3,,,
7,"Large piscivorous sharks",4.922075,1,0.002,0.002,,0.48,1.6,0.2832603,0.3,,,
8,"Small sharks",4.338914,1,0.002,0.002,,0.51,2.96,0.4167895,0.1722973,,,
9,"Juvenile rays",4.236971,1,0.268,0.268,,0.66,1.7,0.005472929,0.3882353,,,
10,"Starry ray + others",4.452976,1,0.109,0.109,,0.66,1.7,0.09445015,0.3882353,,,
11,"Thornback & Spotted ray",4.499125,1,0.066,0.066,,0.78,2.3,0.1085937,0.3391304,,,
12,"Skate + cuckoo ray",4.430039,1,0.05,0.05,,0.35,1.8,0.003909805,0.1944444,,,
,Cod,,,,,,,,,,,,
13,"Juvenile Cod(0-2, 0-40cm)",4.307944,1,0.1240688,0.1240688,1.79,,8.011945,0.7526674,0.2234164,,,
14,"Cod (adult)",4.811738,1,0.161,0.161,1.19,,3.5,0.7485356,0.34,,,
,Whiting,,,,,,,,,,,,
15,"Juvenile Whiting (0-1, 0-20cm)",4.256857,1,0.02182504,0.02182503,2.36,,17.40203,0.7820222,0.1356163,,,
16,"Whiting (adult)",4.349419,1,0.352,0.352,0.89,,5.46,0.9747061,0.1630037,,,
,Haddock,,,,,,,,,,,,
17,"Juvenile Haddock (0-1, 0-20cm)",4.061042,1,0.006677011,0.006677011,2,,14.38976,0.816375,0.1389877,,,
18,"Haddock (adult)",4.268198,1,0.104,0.104,1.14,,4.4,0.9941002,0.2590909,,,
,Saithe,,,,,,,,,,,,
19,"Juvenile Saithe (0-3, 0-40cm)",4.024068,1,0.1395076,0.1395076,1,,8.288544,0.4663753,0.1206485,,,
20,"Saithe (adult)",4.339469,1,0.22,0.22,0.95,,3.6,0.6332029,0.2638889,,,
21,Hake,4.903199,1,0.014,0.014,,0.82,2.2,0.6874845,0.3727273,,,
22,"Blue whiting",4.095804,1,0.08,0.08,,2.5,9.06,0.8937607,0.2759382,,,
23,"Norway pout",3.589456,1,1.394,1.394,,2.2,5.05,0.750483,0.4356436,,,
24,"Other gadoids (large)",4.517121,1,0.05116986,0.05116986,,1.27,3.2,0.9499999,0.396875,,,
25,"Other gadoids (small)",3.825301,1,0.2022499,0.2022499,,2.3,6,0.9499999,0.3833333,,,
26,Monkfish,4.826191,1,0.042,0.042,,0.7,1.9,0.8542012,0.368421,,,
27,Gurnards,4.445666,1,0.077,0.077,,0.82,3.2,0.6252375,0.25625,,,
,Herring,,,,,,,,,,,,
28,"Herring (juvenile 0, 1)",3.422146,1,0.0854141,0.0854141,1.31,,12.50785,0.9797269,0.1047342,,,
29,"Herring (adult)",3.437561,1,1.966,1.966,0.8,,4.34,0.7071023,0.1843318,,,
30,Sprat,2.959406,1,0.579,0.579,,2.28,6,0.8398183,0.38,,,
31,Mackerel,3.895037,1,1.72,1.72,,0.6,1.73,0.6376151,0.3468208,,,
32,"Horse mackerel",4.279009,1,0.579,0.579,,1.2,3.51,0.3608171,0.3418804,,,
33,Sandeels,3.34555,1,3.122,3.122,,2.28,10.1,0.7583196,0.2257426,,,
34,Plaice,3.990585,1,0.703,0.703,,0.85,3.42,0.6983633,0.248538,,,
35,Dab,4.010802,1,3,3,,0.672,3.36,0.2178223,0.2,,,
