,"Group name","Demersal trawl + dem seine (t/km²/year)","Beam trawl (t/km²/year)","Sandeel trawl (t/km²/year)","Pelagic trawl (t/km²/year)","Drift and fixed nets (t/km²/year)","Nephrops trawl (t/km²/year)","Gears using hooks (t/km²/year)","Shrimp trawlers (t/km²/year)","Dredges (t/km²/year)","Shellfish (t/km²/year)","Pots (t/km²/year)","Other (t/km²/year)","TotalCatch (t/km²/year)",
1,"Baleen whales",0,0,0,0,0,0,0,0,0,0,0,0,0,
2,"Toothed whales",0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Seals,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,Seabirds,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,"Juvenile sharks",0,0,0,0,0,0,0,0,0,0,0,0,0,
6,Spurdog,0.004805547,4.63746E-05,0.000465402,0.0021288,0.001193213,0.0001144595,1.1896E-09,0,0,0,0,1.79789E-05,0.008771776,
7,"Large piscivorous sharks",7.31065E-06,7.97637E-08,0,0,1.90175E-05,0,0.000245522,0,0,0,0,0,0.0002719299,
8,"Small sharks",0.000161404,9.97634E-06,1.79785E-06,0,7.46554E-05,0,1.53393E-05,0,0,0,0,0,0.0002631729,
9,"Juvenile rays",0,0,0,0,0,0,0,0,0,0,0,0,0,
10,"Starry ray + others",0.006794744,0,0,0,0,0,0,0,0,0,0,0,0.006794744,
11,"Thornback & Spotted ray",0.001238694,0.000480918,4.65614E-06,1.94158E-05,0.0009620898,0,0,0,0,0,0,0.002884628,0.005590402,
12,"Skate + cuckoo ray",6.842158E-05,0,0,0,0,0,0,0,0,0,0,0,6.842158E-05,
13,"Juvenile Cod(0-2, 0-40cm)",0.003,0.0012225,0,0.00387,5.655E-07,0.000204,0,0,0,0,0,0.06975,0.07804707,
14,"Cod (adult)",0.06477436,0.009864889,0.002106328,0.02731545,0.01875022,0.001510319,0,0,0,0,0,4.49825E-06,0.1243261,
15,"Juvenile Whiting (0-1, 0-20cm)",0.001,0.0001,3E-05,0.001,5.57E-06,0.000229,0,0,0,0,0,7.16E-05,0.00243617,
16,"Whiting (adult)",0.06293915,0.004866466,0.05623028,0.0498375,0.0002143934,0.004364846,0,0,0,0,0,0.00298303,0.1814357,
17,"Juvenile Haddock (0-1, 0-20cm)",0.00115,2.51333E-06,4.53333E-06,0.000773333,4.43333E-06,7.36667E-05,0,0,0,0,0,9.63333E-05,0.002104813,
18,"Haddock (adult)",0.03755261,0.0002260595,0.007997836,0.03666963,0.000427078,0.002896045,0,0,0,0,0,0.009402764,0.09517203,
19,"Juvenile Saithe (0-3, 0-40cm)",0.00096,1.69E-05,0,0.00159,2.1E-05,4.675E-05,1.095E-07,0,0,0,0,0.025,0.02763476,
20,"Saithe (adult)",0.09262373,1.34807E-05,0.002462121,0.02164419,0.000527481,0.000133153,2.19193E-07,0,0,0,0,0,0.1174044,
21,Hake,0.001871654,5.22087E-05,0.000291589,0.0007479675,0.002306082,9.37938E-06,0,0,0,0,0,1.66754E-05,0.005295556,
22,"Blue whiting",0,0,0,0.06038698,0,0,0,0,0,0,0,0.000587768,0.06097475,
23,"Norway pout",6.49947E-05,0,0.1500681,0.1212194,0,0,0,0,0,0,0,0.002105302,0.2734578,
24,"Other gadoids (large)",0.02933071,0.0009803632,0,0,0.005590755,0,0.000446229,0,0,0,0,0,0.03634806,
25,"Other gadoids (small)",0.02763514,0.000501685,1.81994E-07,0,6.92184E-05,0,0.000120019,0,0,7.27976E-08,0,0,0.02832632,
26,Monkfish,0.01444833,0.002648152,0.000552663,0.001918842,0.0002362131,0.001719466,0,0,0,0,0,0.000976811,0.02250047,
27,Gurnards,0.0006636293,0.007376794,0,1.06667E-06,7.12281E-07,2.08981E-07,0,0,0,0,0,0,0.00804241,
28,"Herring (juvenile 0, 1)",3.31429E-08,1.17857E-05,0,0.000452857,0,1.34E-10,0,0,0,0,0,0.02114286,0.02160753,
29,"Herring (adult)",0.0949402,8.522016E-05,0.2119625,0.3733326,0.00070724,9.38279E-10,0,0,0,0,0,0.1782457,0.8592734,
30,Sprat,0.003256074,0.007405536,0.1253871,0.005996968,8.508394E-05,2.0014E-08,0,0,0,0,0,0.03987668,0.1820075,
31,Mackerel,0.01682717,3.228865E-06,0.01215915,0.4544888,2.68762E-05,5.63896E-08,0,0,0,0,0,0.06925719,0.5527625,
32,"Horse mackerel",0.01587868,0.0004646883,0.001745745,0.04359191,7.393509E-05,4.29501E-09,0,0,0,0,0,0.11058,0.172335,
33,Sandeels,1.54386E-06,0,1.448629,0.001967877,0,0,0,0,0,0,0,0.02764729,1.478246,
34,Plaice,0.0730869,0.2612491,0.000133198,0.002786389,0.006832574,0.000580674,0,0,0,0,0,0.03642717,0.381096,
35,Dab,0.1256807,0.003254555,1.9986E-05,0.000539565,0.0002104302,0.007662097,1.23457E-09,0,3.05597E-11,0,0,0.000226265,0.1375936,
36,"Long-rough dab",0,0,0,0,5.26316E-06,0,0,0,0,0,0,0,5.26316E-06,
37,Flounder,0.001273738,0.06259468,0,0,0.000147878,8.50715E-07,2.36038E-06,0,0,0,0,0,0.06401951,
38,Sole,0.001688689,0.04997703,1.16316E-06,2.98246E-08,0.00200883,0,0,0,0,0,0,0.01359085,0.0672666,
39,"Lemon sole",0.01085692,0.000808336,2.03105E-05,0.002269444,0.0001271575,0.0002404,0,0,0,0,0,0.000363682,0.01468625,
40,Witch,0.003140192,0.01316934,0,1.822157E-06,5.714001E-07,0,2.892344E-05,0,0,0,0,0,0.01634085,
41,"Turbot and brill",0.000914299,0.001400024,1.00193E-05,2.94737E-07,0.00157236,0,1.41138E-09,0,0,0,0,0.000374607,0.004271605,
42,Megrim,0.0028738,2.859785E-07,0,0.000506591,2.075826E-06,8.11228E-05,0,0,0,0,0,7.81053E-06,0.003471686,
43,Halibut,0.001248014,6.29338E-05,0,0,1.65615E-06,0,1.37114E-05,0,0,0,0,0,0.001326315,
44,Dragonets,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,"Catfish (Wolf-fish)",0.004758046,0.000494436,0,9.94201E-09,1.94167E-05,0,5.26529E-05,0,0,0,0,0,0.005324561,
46,"Large demersal fish",0.006651511,0.0001239247,5.1497E-07,3.94E-05,0.0003433624,0,3.1298E-05,0,3.15919E-10,2.65899E-06,1.28743E-07,0,0.007192799,
47,"Small demersal fish",0.02365633,0.001939869,0.04624816,0.007887137,0.07792342,0,1.99593E-07,0,0,0,0,0.01174541,0.1694005,
48,"Miscellaneous filterfeeding pelagic fish",6.193705E-05,0,0,0.01018052,4.27518E-10,0,0,0,0,0,0,0,0.01024245,
49,"Squid & cuttlefish",0.002038477,0.0001090052,0,1.58172E-07,7.4107E-09,3.9347E-08,0,0,2.920048E-06,0,0,0,0.002150607,
50,"Fish larvae",0,0,0,0,0,0,0,0,0,0,0,0,0,
51,"Carnivorous zooplankton",0,0,0,0,0,0,0,0,0,0,0,0,0,
52,"Herbivorous & Omnivorous zooplankton (copepods)",0,0,0,0,0,0,0,0,0,0,0,0,0,
53,"Gelatinous zooplankton",0,0,0,0,0,0,0,0,0,0,0,0,0,
54,"Large crabs",6.54671E-05,9.18661E-06,0.006422378,0,6.35653E-05,0,2.32861E-06,0,0,0,0.004903741,0,0.01146667,
55,Nephrops,0.00728117,6.97895E-06,4.30702E-06,3.82649E-05,2.43684E-06,0.01173686,0,0,0,0,0,2.87421E-05,0.01909876,
56,"Epifaunal macrobenthos (mobile grazers)",0.001163205,3.7041E-05,0.000538038,0,2.17847E-05,0,4.25888E-07,0,0.002741683,0,0.002150292,0,0.00665247,
57,"Infaunal macrobenthos",0,0,0,0,0,0,0,0,0.07165812,0.01914188,0,0,0.09079999,
58,Shrimp,0.001238112,0.08906467,0.00057464,8.66667E-06,8.59649E-08,0,0,0.002472884,5.88526E-06,0,0,0,0.09336495,
59,"Small mobile epifauna (swarming crustaceans)",0,0,0,0,0,0,0,0,0,0,0,0,0,
60,"Small infauna (polychaetes)",0,0,0,0,0,0,0,0,0,0,0,0,0,
61,"Sessile epifauna",0,0,0,0,0,0,0,0,0.1833397,0.02768487,0,0,0.2110246,
62,Meiofauna,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,"Benthic microflora (incl. Bacteria, protozoa))",0,0,0,0,0,0,0,0,0,0,0,0,0,
64,"Planktonic microflora (incl. Bacteria, protozoa)",0,0,0,0,0,0,0,0,0,0,0,0,0,
65,Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,
