,"Group name","Demersal trawl + dem seine (t/km²/year)","Beam trawl (t/km²/year)","Sandeel trawl (t/km²/year)","Pelagic trawl (t/km²/year)","Drift and fixed nets (t/km²/year)","Nephrops trawl (t/km²/year)","Gears using hooks (t/km²/year)","Shrimp trawlers (t/km²/year)","Dredges (t/km²/year)","Shellfish (t/km²/year)","Pots (t/km²/year)","Other (t/km²/year)",Total,
1,"Baleen whales",0,0,0,0,0,0,0,0,0,0,0,0,0,
2,"Toothed whales",0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Seals,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,Seabirds,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,"Juvenile sharks",0,0,0,0,0,0,0,0,0,0,0,0,0,
6,Spurdog,9.78459E-08,2.1643E-05,0,0,7.92624E-05,2.83121E-05,1.1896E-09,0,0,0,0,0,0.0001293165,
7,"Large piscivorous sharks",0,0,0,0,0,0,0,0,0,0,0,0,0,
8,"Small sharks",0,0,0,0,0,0,0,0,0,0,0,0,0,
9,"Juvenile rays",0,0,0,0,0,0,0,0,0,0,0,0,0,
10,"Starry ray + others",6.40346E-09,0,0,0,0,0,0,0,0,0,0,0,6.40346E-09,
11,"Thornback & Spotted ray",7.87684E-09,0.00031729,0,0,3.79133E-09,0,0,0,0,0,0,0,0.0003173017,
12,"Skate + cuckoo ray",4.86336E-10,0,0,0,0,0,0,0,0,0,0,0,4.86336E-10,
,Cod,,,,,,,,,,,,,,
13,"Juvenile Cod(0-2, 0-40cm)",0.003,0.0012225,0,0.00387,5.655E-07,0.000204,0,0,0,0,0,0.06975,0.07804707,
14,"Cod (adult)",0.002370647,0.000815203,0,0.002577628,3.77193E-07,0.000135528,0,0,0,0,0,4.49825E-06,0.005903881,
,Whiting,,,,,,,,,,,,,,
15,"Juvenile Whiting (0-1, 0-20cm)",0.001,0.0001,3E-05,0.001,5.57E-06,0.000229,0,0,0,0,0,7.16E-05,0.00243617,
16,"Whiting (adult)",0.01865274,0.001554861,0.000351109,0.01044466,5.57184E-05,0.002292285,0,0,0,0,0,0.000716018,0.03406739,
,Haddock,,,,,,,,,,,,,,
17,"Juvenile Haddock (0-1, 0-20cm)",0.00115,2.51333E-06,4.53333E-06,0.000773333,4.43333E-06,7.36667E-05,0,0,0,0,0,9.63333E-05,0.002104813,
18,"Haddock (adult)",0.001,7.54035E-05,0.000136157,0.001,0.000133134,0.002213947,0,0,0,0,0,0.002894176,0.007452818,
,Saithe,,,,,,,,,,,,,,
19,"Juvenile Saithe (0-3, 0-40cm)",0.00096,1.69E-05,0,0.00159,2.1E-05,4.675E-05,1.095E-07,0,0,0,0,0.025,0.02763476,
20,"Saithe (adult)",0,0,0,0,0,0,2.19193E-07,0,0,0,0,0,2.19193E-07,
21,Hake,5.87883E-10,3.14666E-05,0,6.50553E-09,0.001132798,8.11294E-08,0,0,0,0,0,0,0.001164353,
22,"Blue whiting",0,0,0,0,0,0,0,0,0,0,0,0,0,
23,"Norway pout",0,0,0,0,0,0,0,0,0,0,0,0,0,
24,"Other gadoids (large)",1.32933E-09,2.67123E-05,0,0,0.003180987,0,0,0,0,0,0,0,0.003207701,
25,"Other gadoids (small)",0,0,0,0,0,0,0,0,0,0,0,0,0,
26,Monkfish,0.001156856,0.001934615,0,0,1.47521E-05,4.5682E-05,0,0,0,0,0,0,0.003151905,
27,Gurnards,1.64253E-07,0.007229773,0,0,0,2.08981E-07,0,0,0,0,0,0,0.007230146,
,Herring,,,,,,,,,,,,,,
28,"Herring (juvenile 0, 1)",3.31429E-08,1.17857E-05,0,0.000452857,0,1.34E-10,0,0,0,0,0,0.02114286,0.02160753,
29,"Herring (adult)",2.31939E-07,8.2457E-05,0,0.003166182,0,9.38279E-10,0,0,0,0,0,0,0.003248872,
30,Sprat,6.48596E-07,0.00739978,0,0,1.43293E-09,2.0014E-08,0,0,0,0,0,0,0.00740045,
31,Mackerel,8.44532E-09,4.58685E-07,0,0.2068733,1.36622E-05,5.63896E-08,0,0,0,0,0,0,0.2068875,
32,"Horse mackerel",7.40096E-07,1.24031E-06,0,8.39635E-06,1.0696E-08,4.29501E-09,0,0,0,0,0,0,1.039175E-05,
33,Sandeels,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,Plaice,0.03220795,0.07231957,0,0,1.24739E-09,0.000301742,0,0,0,0,0,0,0.1048293,
35,Dab,0.1229541,0.002827448,0,0,1.72847E-10,0.00760404,1.23457E-09,0,3.05597E-11,0,0,0,0.1333856,
36,"Long-rough dab",0,0,0,0,0,0,0,0,0,0,0,0,0,
37,Flounder,1.75828E-08,0.06110811,0,0,0,8.50715E-07,0,0,0,0,0,0,0.06110898,
38,Sole,0,0,0,0,1.43216E-08,0,0,0,0,0,0,0,1.43216E-08,
39,"Lemon sole",0.003956519,0.000232634,0,0,1.53788E-09,0.000106398,0,0,0,0,0,0,0.004295553,
40,Witch,3.50553E-05,0.01222006,0,1.20762E-06,3.08027E-07,0,1.09407E-08,0,0,0,0,0,0.01225664,
41,"Turbot and brill",0.000226492,0.000369752,0,0,0.000118095,0,1.41138E-09,0,0,0,0,0,0.0007143404,
42,Megrim,0.001175961,2.80835E-08,0,0,3.10916E-07,0,0,0,0,0,0,0,0.0011763,
43,Halibut,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,Dragonets,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,"Catfish (Wolf-fish)",0,0,0,0,0,0,0,0,0,0,0,0,0,
46,"Large demersal fish",0.001171357,2.18347E-05,0,4.3658E-06,3.73464E-05,0,0,0,3.15919E-10,0,0,0,0.001234904,
47,"Small demersal fish",0,0,0,0,0,0,0,0,0,0,0,0,0,
48,"Miscellaneous filterfeeding pelagic fish",3.74454E-09,0,0,0.000158456,4.27518E-10,0,0,0,0,0,0,0,0.0001584602,
49,"Squid & cuttlefish",0.000372479,2.52966E-05,0,1.58172E-07,0,3.9347E-08,0,0,2.69811E-09,0,0,0,0.0003979758,
50,"Fish larvae",0,0,0,0,0,0,0,0,0,0,0,0,0,
51,"Carnivorous zooplankton",0,0,0,0,0,0,0,0,0,0,0,0,0,
52,"Herbivorous & Omnivorous zooplankton (copepods)",0,0,0,0,0,0,0,0,0,0,0,0,0,
53,"Gelatinous zooplankton",0,0,0,0,0,0,0,0,0,0,0,0,0,
54,"Large crabs",0,0,0,0,0,0,0,0,0,0,0,0,0,
55,Nephrops,0.000213263,0,0,0,0,0.000792032,0,0,0,0,0,0,0.001005295,
56,"Epifaunal macrobenthos (mobile grazers)",0,1.73813E-05,0,0,0,0,0,0,0,0,0,0,1.73813E-05,
57,"Infaunal macrobenthos",0,0,0,0,0,0,0,0,0,0,0,0,0,
58,Shrimp,0,0.04992016,0,0,0,0,0,0,0,0,0,0,0.04992016,
59,"Small mobile epifauna (swarming crustaceans)",0,0,0,0,0,0,0,0,0,0,0,0,0,
60,"Small infauna (polychaetes)",0,0,0,0,0,0,0,0,0,0,0,0,0,
61,"Sessile epifauna",0,0,0,0,0,0,0,0,0,0,0,0,0,
62,Meiofauna,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,"Benthic microflora (incl. Bacteria, protozoa))",0,0,0,0,0,0,0,0,0,0,0,0,0,
64,"Planktonic microflora (incl. Bacteria, protozoa)",0,0,0,0,0,0,0,0,0,0,0,0,0,
65,Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,
66,"Detritus - DOM -water column",0,0,0,0,0,0,0,0,0,0,0,0,0,
67,"Detritus - POM - sediment",0,0,0,0,0,0,0,0,0,0,0,0,0,
68,Discards,0,0,0,0,0,0,0,0,0,0,0,0,0,
74,Sum,0.1916053,0.2199069,0.0005217993,0.2319206,0.004798354,0.01407464,3.434693E-07,0,3.044589E-09,0,0,0.1196755,0.7825032,
