,"Group name","Pelagic Shark mono-sp. (t/km²/year)","Carniv. dem. elasmo. mono-sp fleet (t/km²/year)","Benthiv. dem. elasmo. mono-sp fleet (t/km²/year)","Sea bass mono-sp fleet (t/km²/year)","Anglerfish lg. mono-sp fleet (t/km²/year)","Anglerfish sm. mono-sp fleet (t/km²/year)","Hake lg. mono-sp fleet (t/km²/year)","Hake sm. mono-sp fleet (t/km²/year)","Cod ad. mono-sp fleet (t/km²/year)","Cod sm. mono-sp fleet (t/km²/year)","Whiting mono-sp fleet (t/km²/year)","Haddock mono-sp fleet (t/km²/year)","Pouts mono-sp fleet (t/km²/year)","Megrim mono-sp fleet (t/km²/year)","Sole mono-sp fleet (t/km²/year)","Plaice mono-sp fleet (t/km²/year)","Pisciv. dem. mono-sp fleet (t/km²/year)","Epibenthiv. mono-sp fleet (t/km²/year)","Small dem. mono-sp fleet (t/km²/year)","Endobenthiv. mono-sp fleet (t/km²/year)","Mackerel mono-sp fleet (t/km²/year)","Horse mackerel mono-sp fleet (t/km²/year)","Boarfish mono-sp fleet (t/km²/year)","Sprat mono-sp fleet (t/km²/year)","Blue whiting mono-sp fleet (t/km²/year)","Pilchard mono-sp fleet (t/km²/year)","Herring mono-sp fleet (t/km²/year)","Large pelagic mono-sp fleet (t/km²/year)","Medium pelagic mono-sp fleet (t/km²/year)","Squids mono-sp fleet (t/km²/year)","Benth. cephalopods mono-sp fleet (t/km²/year)","Commercial crust. mono-sp fleet (t/km²/year)","Nephrops mono-sp fleet (t/km²/year)","Commercial bivalves mono-sp fleet (t/km²/year)","Shrimps mono-sp fleet (t/km²/year)","Carniv. Necro. inv. mono-sp fleet (t/km²/year)","Surf. Suspensiv. Deposiv. mono-sp fleet (t/km²/year)","TotalCatch (t/km²/year)",
1,"Seabirds - Divers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,"Seabirds - Surface feeders",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,"Baleen whales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,"Toothed cetaceans / Seals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,"Pelagic sharks",0.004030601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004030601,
6,"Carnivorous demer. elasmobranchs",0,0.04301453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04301453,
7,"Benthivorous demer. elasmobranchs",0,0,0.07231379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07231379,
8,"Sea bass",0,0,0,0.006220607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006220607,
9,"Anglerfish large",0,0,0,0,0.08727402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08727402,
10,"Anglerfish small",0,0,0,0,0,0.01892244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01892244,
