Species,Fishbase Link,Ref #,Sex,l_inf,k_vb,t0,w_inf,l_mat,M,phi_prime,Locality,Territory,Temp,a,b,l_max_fishbase,l_max_type,La,Lb,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=8332&cap=n,27256,Unsexed,30.3,0.44,,212.65,22.1,,2.61,Celtic Sea,Ireland,13,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=287&cap=n,2809,Unsexed,29.2,0.48,,176,24.5,,2.61,Downs stock,UK Engld Wal,10.6,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=291&cap=n,2809 & 2814,Unsexed,31.2,0.44,-1.27,199,23.8,0.16,2.63,Dunmore stock,Ireland,11.4,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=288&cap=n,2809 & 2814,Unsexed,29.6,0.35,-1.63,181,23.7,,2.49,Manx stock,UK,10.3,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=297&cap=n,2814,Unsexed,30.6,0.32,-0.32,273,,,2.48,Manx stock,UK,10.3,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=248&cap=n,312 & 791,Unsexed,28.2,0.378,,157,,,2.48,East Anglia,UK Engld Wal,9,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=250&cap=n,312 & 791,Unsexed,28.4,0.36,,160,,,2.46,East Anglia,UK Engld Wal,9,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=252&cap=n,312 & 791,Unsexed,29.3,0.264,,176,,0.17,2.36,East Anglia,UK Engld Wal,9,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=253&cap=n,312 & 791,Unsexed,29.4,0.234,,178,,,2.31,East Anglia,UK Engld Wal,9,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=254&cap=n,312 & 791,Unsexed,29.5,0.29,,180,,0.184,2.4,East Anglia,UK Engld Wal,9,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=255&cap=n,312 & 791,Unsexed,29.9,0.375,,188,,,2.53,East Anglia,UK Engld Wal,9,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=256&cap=n,312 & 791,Unsexed,30.2,0.267,,194,,0.15,2.39,East Anglia,UK Engld Wal,9,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=257&cap=n,312 & 791,Unsexed,30.3,0.222,,196,,0.13,2.31,East Anglia,UK Engld Wal,9,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=258&cap=n,312 & 791,Unsexed,30.4,0.313,,198,,,2.46,East Anglia,UK Engld Wal,9,0.0055,3.1,45,SL,0,1.16,,
