species,gear,length,Scientific_name,English_name,count,dl
Dab,total,11,Limanda limanda,Common dab,0.634,1
Dab,total,12,Limanda limanda,Common dab,9.862,1
Dab,total,13,Limanda limanda,Common dab,19.43,1
Dab,total,14,Limanda limanda,Common dab,26.179000000000006,1
Dab,total,15,Limanda limanda,Common dab,91.418,1
Dab,total,16,Limanda limanda,Common dab,297.233,1
Dab,total,17,Limanda limanda,Common dab,660.108,1
Dab,total,18,Limanda limanda,Common dab,5598.381,1
Dab,total,19,Limanda limanda,Common dab,3270.3989999999994,1
Dab,total,20,Limanda limanda,Common dab,18863.047000000002,1
Dab,total,21,Limanda limanda,Common dab,162621.24900000004,1
Dab,total,22,Limanda limanda,Common dab,289901.90800000005,1
Dab,total,23,Limanda limanda,Common dab,975506.3019999997,1
Dab,total,24,Limanda limanda,Common dab,1226432.671,1
Dab,total,25,Limanda limanda,Common dab,963511.9040000001,1
Dab,total,26,Limanda limanda,Common dab,767252.683,1
Dab,total,27,Limanda limanda,Common dab,584055.511,1
Dab,total,28,Limanda limanda,Common dab,387061.4429999999,1
Dab,total,29,Limanda limanda,Common dab,179909.39,1
Dab,total,30,Limanda limanda,Common dab,86933.50400000002,1
Dab,total,31,Limanda limanda,Common dab,44694.206,1
Dab,total,32,Limanda limanda,Common dab,60211.55299999999,1
Dab,total,33,Limanda limanda,Common dab,5307.611000000001,1
Dab,total,34,Limanda limanda,Common dab,3367.455999999999,1
Dab,total,35,Limanda limanda,Common dab,746.063,1
Dab,total,36,Limanda limanda,Common dab,1258.2269999999999,1
Dab,total,37,Limanda limanda,Common dab,168.325,1
Herring,total,15,Clupea harengus,Atlantic herring,1594.615,1
Herring,total,16,Clupea harengus,Atlantic herring,19135.383,1
Herring,total,17,Clupea harengus,Atlantic herring,52910.091,1
Herring,total,18,Clupea harengus,Atlantic herring,100992.824,1
Herring,total,19,Clupea harengus,Atlantic herring,354277.531,1
Herring,total,20,Clupea harengus,Atlantic herring,1796787.8249999997,1
Herring,total,21,Clupea harengus,Atlantic herring,5440367.516,1
Herring,total,22,Clupea harengus,Atlantic herring,12390484.002,1
Herring,total,23,Clupea harengus,Atlantic herring,34190358.128,1
Herring,total,24,Clupea harengus,Atlantic herring,87526594.661,1
Herring,total,25,Clupea harengus,Atlantic herring,138879732.035,1
Herring,total,26,Clupea harengus,Atlantic herring,160640867.001,1
Herring,total,27,Clupea harengus,Atlantic herring,159185210.06300002,1
Herring,total,28,Clupea harengus,Atlantic herring,164380053.77300003,1
Herring,total,29,Clupea harengus,Atlantic herring,177699103.614,1
Herring,total,30,Clupea harengus,Atlantic herring,127359507.227,1
Herring,total,31,Clupea harengus,Atlantic herring,67458979.46399999,1
Herring,total,32,Clupea harengus,Atlantic herring,22693377.052,1
